152.42.174.66:443#SG [263.38ms 0.25Mbps]
209.97.165.213:443#SG [263.50ms 0.42Mbps]
104.17.236.246:443#US [263.65ms 0.53Mbps]
151.242.159.86:443#FR [263.70ms 0.47Mbps]
157.22.133.86:443#PL [264.15ms 0.19Mbps]
196.196.5.28:443#SE [264.43ms 0.91Mbps]
104.17.244.207:443#US [264.44ms 0.76Mbps]
162.159.156.168:443#GB [264.47ms 0.24Mbps]
167.104.219.81:443#TR [264.73ms 0.21Mbps]
45.141.148.53:2053#TR [264.78ms 0.76Mbps]
104.17.229.231:443#US [265.29ms 1.54Mbps]
5.45.117.125:443#EE [265.30ms 0.76Mbps]
198.199.106.194:443#CA [265.68ms 0.26Mbps]
104.18.82.225:443#GB [265.79ms 0.20Mbps]
172.67.145.38:443#US [265.88ms 0.17Mbps]
162.159.139.21:443#GB [266.17ms 0.26Mbps]
104.20.57.106:443#DE [266.50ms 2.77Mbps]
104.26.9.29:443#US [266.61ms 1.66Mbps]
94.183.187.80:443#FR [266.78ms 0.69Mbps]
92.223.2.12:2087#AM [267.03ms 1.00Mbps]
185.214.99.241:8443#BG [267.60ms 0.78Mbps]
64.188.82.108:8443#SE [267.72ms 0.43Mbps]
5.101.115.69:8443#EE [268.07ms 1.45Mbps]
45.148.30.11:443#DK [268.18ms 5.58Mbps]
83.228.193.229:443#CH [268.26ms 0.19Mbps]
13.63.216.71:443#SE [268.41ms 1.22Mbps]
185.195.69.72:443#CH [268.48ms 1.17Mbps]
141.227.149.235:2053#CH [268.90ms 0.50Mbps]
165.232.173.161:443#SG [268.93ms 0.19Mbps]
104.26.0.70:443#US [269.03ms 1.04Mbps]
104.18.20.122:443#GB [269.22ms 0.51Mbps]
46.36.217.167:443#EE [269.30ms 0.30Mbps]
104.17.245.56:443#US [269.49ms 1.26Mbps]
79.124.7.237:443#BG [269.72ms 0.31Mbps]
188.253.23.155:443#LT [270.64ms 1.21Mbps]
165.245.181.74:443#SG [270.68ms 0.41Mbps]
43.229.254.71:443#ID [270.75ms 0.57Mbps]
172.67.66.105:443#US [271.22ms 0.78Mbps]
62.182.196.194:8443#SE [271.23ms 0.50Mbps]
141.101.90.115:443#NL [271.26ms 0.25Mbps]
104.29.125.245:443#GB [271.58ms 0.21Mbps]
194.246.118.199:443#CH [271.61ms 0.24Mbps]
185.223.253.115:443#BG [271.74ms 0.33Mbps]
